scale id,author,year,scale name,key notes,related scales,instrument focused,focus if not instrumental,external validity,which external validity,note on validity,theoretical framework,facets of motivation,response categories,variance in score (y/n),ceiling/floor effect,internal consistency measure,internal consistency estimate,note on reliability,skills required,populations disadvantaged,note on inclusivity,duration,items,expansion/reduction,scale efficiency,sample mean,sample range,sample grade,sample ages applied,country of study,sample population,attributes of sample,sample size,additional notes on sample,measures interest (y/n),measures intrinsic motivation (y/n),measures extrinsic motivation (y/n),evaluation notes,type of measure,child interview (y/n),questionnaire (y/n),self-report (y/n),parent report (y/n),teacher-report (y/n),child-and parent-report (y/n),child report: individual or group testing,available for research use,available materials 
1440,"Driscoll, V.; Gfeller, K.; Tan, X.",2015,Music Engagement Questionnaire- Preschool/Elementary (MEQ-P/E),Parent Questionnaire which evaluates extent and type of child's involvement in formal music instruction. Adapted a from a study by Darrow's (1993) with language simplified to evaluate a younger target audience. ,NA,no,"singing, listening, community music, social musical activities, moving to music, watching musical videos, family music making, independent musical exploration, creating songs, playing with musical toys and games. ",yes,other measures: parent reports of music importance,NA,NA,active engagement/involvement,6-point ordinal frequency scale (never-daily + don't know),NR,NR,no,NR,only parent reports- reliability could be improved with self-reports or teacher reports,parent insight,parent who lives seperately,necessary to have an insight into their children's musical lives and behaviour,10m,12,no,"comprehensive list of possible music activities, would not advise lengthening or shortening","3.2y (preschool), 9.88y (primary)","1.5 to5y (preschool), 7 to12y (primary)",preschool and primary,"1,2,3,4,5,7,8,9,10,11,12",US,hearing impaired,children with cochlear implants,32,parents also completed questions on siblings as a comparison group who are not included in this sample summary,yes,yes,no,advantageously includes a comprehensive overview of possible types of musical involvement,parent questionnaire,no,yes,no,yes,no,no,NA,unclear,yes: in paper
1452,"Kaya Kara, O.; Turker, D.; Kara, K.; Yardimci-Lokmanoglu, B. N.",2020,The participation environment measure for children and youth (PEM-CY),Involvement scale (parent-report): frequency of engagement with activity and extent of involvement. Covers lots of different activities of which music is only one.,NA,no,general  music and arts combined,yes,discriminant validity: children with neurological differences,found interaction effect on involvement score based on age and developmental disorder which authors use to support discriminant validity of scale,NA,active engagement/involvement,5-point likert  (very involved to minimally involved),"yes: likert scales converted into yes and no responses with yes (M=2.44, SD=1.28) and no (M=3.44, SD=.9)",NR,cronbach's alpha; test retest coefficients (ICC),"a= .73 (school), .77 (community), .78 (home) ; test-retest =.83 (school), .84 (community), .87 (home)",NA,insight into children's lives across home school and community settings,parent who lives seperately,NA,1m,3,no,"this is an estimate of no.items based on information provided in paper. Only one item that is applied across different settings (home/school/community), could be expanded",11.5y-12.1y,5 to 17y,NR,"5,6,7,8,9,10,11,12,13,14,15,16,17",Turkey,ADHD; Cerebal Palsy; Learning disability; ASD; intellectual delay; hearing impairment; multiple disabilities; vision impairement; speech/language impairment; developmental delay; orthopedic impairment; duchene muscular dystrophy; TD,NA,410,sample split into TD and those with disabilities,no,yes,no,applies to lots of different contexts and may not be specific enough to assessing motivation for music in a nuaned way,parent questionnaire,no,yes,no,yes,no,no,group,unclear,yes: item described in section 2.4.1
395,"Hallam, S.; Rinta, T. Varvargiou, M.; Creech, A.; Papageorgi, I.; Gomes, T.; Lanipekun, J.",2012,Untitled,"Self-report on practice strategies, organisation and motivation",NA,yes,NA,yes,level of expertise (grade level attained in UK grade system),the study sought to investigate differences in practice strategies between instrumental students with different levels of expertise; differences were established between groups,NA,practice strategies,7 point agreement scale,NR,NR,no,NR,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,10m,29,no,"PCA validates 7 factors that relate to different aspects of practice, validating use of this many items",NR,6 to 19y,NR,"6,7,8,9,10,11,12,13,14,15,16,17,18,19",UK,TD,participants were all learning classical and popular musical instruments,3325,sample were split into grade groups ,no,yes,no,"focused on practice strategies, some items are not directly related to motivation necessarily (e.g. 'I practice with a metronome')",child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper appendix 
1441a,"Eccles, J.; Wigfield, A.; Harold, R.; Blumenfeld, P.",1993,Untitled,Self-report on musical ability ,NA,yes,NA,no,NA,"no external validity but a factor analysis was conducted with new measure: music items all loaded on the same factor and demonstrated similarities with the structure of competence beliefs in other areas (maths, reading and sports)",NA,self-concept of ability,7-point likert scale,"yes: M=4.41, SD=1.76(boys),M= 5.15, SD=1.43 (girls)",no,unsure: likely cronbach's alpha,0.73,NA,language skills,young readers; dyslexia,NA,<5m,4,yes,"the experimenters reduced the number of items in the music part of the scale due to time limitations, could expand to include more music-specific items similar to other areas explored in scale (maths, reading...) and not limited to instrumental training ",NR,7 to 10 y,"1, 2, 4 grade","7,8,9,10",US,TD,lower middle class- middle class,865,NA,no,yes,no,good evaluation of compentence in instrument playing backed by factor analysis,child questionnaire,no,yes,yes,no,no,no,NR,unclear,yes: in paper
1441b,"Eccles, J.; Wigfield, A.; Harold, R.; Blumenfeld, P.",1993,Untitled,Self-report on musical interest,NA,yes,NA,no,NA,"no external validity but a factor analysis was conducted with new measure: music items all loaded on the same factor and demonstrated similarities with task value in other areas (maths, reading and sports)",NA,competence beliefs/success; intrinsic value; interest,7-point likert scale,"yes: M=4.62, SD=2.08 (boys),M= 5.61, SD=1.67 (girls)",no,unsure: likely cronbach's alpha,0.82,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,<5m,3,yes,"the experimenters reduced the number of items in the music part of the scale due to time limitations, could expand to include more music-specific items similar to other areas explored in scale (maths, reading...) and not limited to instrumental training ",NR,8 to 10 y,"1, 2, 4 grade","7,8,9,10",US,TD,lower middle class- middle class,865,NA,yes,yes,no,good evaluation of interest in music but could be expanded to include a wider range of activities,child questionnaire,no,yes,yes,no,no,no,NR,unclear,yes: in paper
1456a,"Valerio, W. G.; Reynolds, A. M.; Mordan, G. B.; McNair, A. A.",2012,The Children's Music-Related Behaviour Questionnaire (CMRBQ),parent-report on children's music-related behaviours,NA,no,"attention to music, vocalisations, moving to music, song requests, music conversations, creativity",yes,factorial validity (CFA) and parent involvement in activities,Iterative process based on parent's feedback to inform item curation,NA,active engagement/involvement,5- point frequency scale (never-frequently),yes: SD=.47-.81,no,cronbach's alpha,"a=.772 (attention & emotion), .834 (vocalisations), .865 (moving),  .909 (requests), .880 (taking turns), .894 (creativity)",alpha moderately high-high,NA,NA,NA,10m,14,no,factorial structure validated,3.56y,<5y,NR,"2,3,4,5",US,TD,Online sample,629,NA,yes,yes,no,interesting approach and seems to nicely reflect musical activities of early years children ,parent questionnaire,no,yes,no,yes,no,no,NA,yes,yes: figure 1 in paper
401,"Ghazali, G. M.; McPherson, G. E.",2009,Untitled,"Self-report covering five motivational constructs: difficulty, importance, usefulness, interesting, enjoyment. Designed to compare attitudes towards music across ethinicities and religious groups.",401,yes,learning music in school,yes,comparison across cultures,authors mention that two versions of the scale (in Malay and English) were validated in a pilot study,"Expectancy-Value theory (Wigfield & Eccles, 2000)",enjoyment/delight; utility value/usefulness; task difficulty,"7 point likert: importance, enjoyment, difficulty, interestingness, usefulness","yes: for 5 different motivation constructs, learning music in school M=4.28-4.71 and SD=1.73-1.92 ",no,no,NR,NA,language skills,young readers; dyslexia,language skills and quality of translation could have affected results here,30m,30,yes,shorter scale might improve attention and engagement,NR,9 to 12y,"years 4,5, 6","9,10,11,12",Malaysia,TD,"ethnicity and religion: malay muslim, chinese buddhist, chinese christian, indian hindu, indian christian",1060,NA,yes,yes,no,interesting test of expectancy-value theory argument that values and beliefs change across social groups,child questionnaire,no,yes,yes,no,no,no,group,no,no: example items
394bd,"Comeau, G., Huta, V., Liu, Y. F.",2015,Piano Autonomous Motivation scale (PAMS),External regulation (child and parent-report),1454 & 403,yes,NA,yes,cross-cultural and additional measures (work ethic questionnaire),no comparison between measures for validity (despite similarity of work ethic Q),"Self-Determination theory (Ryan & Deci, 2000)",external regulation,7-point likert scale (not at all like me- perfectly like me),NR,NR,cronbach's alpha,a=0.65,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",4m,4,yes,additional items could enhance alpha score,10.61y,6 to 17y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,no
394bc,"Comeau, G., Huta, V., Liu, Y. F.",2015,Piano Autonomous Motivation scale (PAMS): ,Introjection subscale (child and parent) ,1454 & 403,yes,NA,yes,cross-cultural and additional measures (work ethic questionnaire),no comparison between measures for validity (despite similarity of work ethic Q),"Self-Determination theory (Ryan & Deci, 2000)",introjection,7-point likert scale (not at all like me- perfectly like me),NR,NR,cronbach's alpha,a=0.63,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",2m,2,yes,only 2 items might not provide sufficient detail and additional items could enhance alpha score,10.61y,6 to 17y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,no
394a,"Comeau, G., Huta, V., Liu, Y. F.",2015,Work Ethic questionnaire,"Child and parent-report on children's work ethic. Focused mainly on piano playing, although includes a question about whether they believe musical ability is changeable. 2 items were written for the current survey and 8 items were from the survey of musical interests (scale 1454)",403 & 1454,yes,NA,yes,cross-cultural and additional measures (PAMS),no comparison between measures for validity (despite similarity of PAMS),NA,work ethic,"3-7: 3 individual response categories for two items, 7 point likert scale for 8 items",NR,"yes:ceiling; all mean scores for the questions with a max score of 3 were above 2, and most above 2.5",no,NR,no cronbach's alpha and no statistic to compare child and parent responses on related questions ,language skills and parent insight,,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",10m,10,yes,the set of questions designed to assess ' child's interest in working hard at practicing the piano' overlaps significantly with the PAMS reported in 394b,10.61y,6 to 17 y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,yes: in paper
394ba,"Comeau, G., Huta, V., Liu, Y. F.",2015,Piano Autonomous Motivation scale (PAMS),Intrinsic motivation subscale (self-report),1454 & 403,yes,NA,yes,cross-cultural and additional measures (work ethic questionnaire),no comparison between measures for validity (despite similarity of work ethic Q),"Self-Determination theory (Ryan & Deci, 2000) ",intrinsic motivation,7-point likert scale (not at all like me- perfectly like me),NR,no,cronbach's alpha,a=0.77,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",5m,5,yes,NA,10.61y,6 to 17 y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,no
394be,"Comeau, G., Huta, V., Liu, Y. F.",2015,Piano Autonomous Motivation scale (PAMS),Amotivation subscale (child and parent-report),403aa,yes,NA,yes,cross-cultural and additional measures (work ethic questionnaire),no comparison between measures for validity (despite similarity of work ethic Q),"Self-Determination theory (Ryan & Deci, 2000)",amotivation,7-point likert scale (not at all like me- perfectly like me),NR,NR,cronbach's alpha,a=0.81,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",6m,6,yes,NA,10.61y,6 to 17 y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,no
394bb,"Comeau, G., Huta, V., Liu, Y. F.",2015,Piano Autonomous Motivation scale (PAMS),Identification/integration subscale (child and parent-report),1454 & 403,yes,NA,yes,cross-cultural and additional measures (work ethic questionnaire),no comparison between measures for validity (despite similarity of work ethic Q),"Self-Determination theory (Ryan & Deci, 2000)",identification/integration,7-point likert scale (not at all like me- perfectly like me),NR,NR,cronbach's alpha,a=0.82,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,"quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation",3m,3,yes,NA,10.61y,6 to 17 y,NR," 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",China ; US,TD,receiving piano tuition with one year of experience,150,recruited via music teachers (potential bias),no,yes,yes,mean ratings compared between samples from differnet cultures to test a quite racist stereotype!,child and parent questionnaires,no,yes,no,no,no,yes,NR,no,no
433b,"Matsunobu, K.",2023,Untitled,Shakuhachi internal motivation (self-report): measures inherent enjoyment and satisfaction that arises from musical participation. Developed to assess motivation for learning a traditional Japanese instrument but could theoretically be applied outside this context.,NA,yes, interest for learning a difficult japanese instrument called the shakuhachi,yes,measured against different observations of ability to play instrument (e.g. ability to make a sound/ability to play a piece),subscale scores significantly higher for those who could make a sound on the instrument and play a piece indicating construct validity,"Self-Determination theory (Ryan & Deci, 2000)",satisfaction; enjoyment/delight,5-point likert scale,NR,NR,cronbach's alpha,a=.87,very good,NA,NA,NA,3m,4,no,factorial structure validated,NR,11 to 11y,5th grade,NR,Japan,TD,NA,220,NA,yes,yes,no,needs to be validated with other musical instruments,child questionnaire questionnaire,no,yes,yes,no,no,no,group,no,yes: items 5-8 in table 1
433a,"Matsunobu, K.",2023,Untitled,Shakuhachi self-efficacy subscale (self-report): concerns self-estimation as related to task-based confidence. Factor one (4 items) of three factors which aimed to measure motivation for learning a traditional Japanese instrument. Could theoretically be applied outside this context.,NA,yes,interest for learning a difficult japanese instrument called the shakuhachi,yes,measured against different observations of ability to play instrument (e.g. ability to make a sound/ability to play a piece/execute a particular technique),subscale scores significantly higher for those who could make a sound on the instrument and play a piece indicating construct validity,"Expectancy-Value theory (Wigfield & Eccles, 2000)",self-efficacy,5-point likert scale,NR,NR,cronbach's alpha,a=.85,NA,NA,NA,NA,3m,4,no,factorial structure validated,NR,12 to 11y,5th grade,NR,Japan,TD,NA,220,NA,no,yes,no,needs to be validated with other musical instruments,child questionnaire,no,yes,yes,no,no,no,group,no,yes: first 4 items in table 1
438b,"Ruth, N.; Müllensiefen, D.",2021,Theory of Musicality (TOM) Questionnaire,"Incremental learning subscale (self-report): Assesses pupil's attitudes towards the development of musical abilities, to what degree they believe musical ability can be developed through learning.",NA,no,beliefs about musical ability,no,NA,The incremental learning subscale did not predict musical drop out,Theory of Musicality (Müllensiefen et al. 2014),incremental learning beliefs,NR,NR,NR,no,NR,NA,language skills and introspection skills,young participants,NA,10m,12,no,factorial structure validated,NR,10 to 17y,NR,"10,11,12,13,14,15,16,17",UK ; Germany,TD,NA,3303,NA,no,yes,no,no psychometrics reported,child questionnaire,no,yes,yes,no,no,no,group,unclear,no
438a,"Ruth, N.; Müllensiefen, D.",2021,Theory of Musicality (TOM) Questionnaire,"Entity subscale (self-report): Assesses pupil's attitudes towards the development of musical abilities, specifically whether they believe music is unchangable and a gift. ",NA,no,beliefs about musical ability,yes,measured against likelihood of dropping out of musical activities,"TOM entity subscale scores were a significant predictor of musical drop out: indicates that the more participants think of music as a 'gift', the more likely the are to drop out of musical activities",Theory of Musicality (Müllensiefen et al. 2014),entity beliefs,NR,NR,NR,no,NR,NA,language skills and introspection skills,young participants,NA,10m,12,no,factorial structure validated,NR,11 to 17y,NR,"10,11,12,13,14,15,16,17",UK ; Germany,TD,NA,3303,NA,no,yes,no,no psychometrics reported,child questionnaire,no,yes,yes,no,no,no,group,unclear,no
390,"Richmond, J.; McLachlan, N. M.; Ainley, M.; Osborne, M. S.",2016,Untitled,"Self-reported enjoyment, self-efficacy and intrinsic motivation towards learning instruments",NA,yes,composition with ensembles of percussion instruments,no,NA,some evidence for *internal validity provided by expected improvements in self-efficacy and intrinsic motivation over the course of each session (measures taken at beginning middle and end),NA,enjoyment/delight; self-efficacy;,"5- point likert (very much- a bit- not at all, represented by smiley faces)",yes: represented graphically in paper,yes: ceiling effects revealed in graphs from figure 5,no,NR,NA,language skills,young readers; dyslexia,smiley face response options and simple questions help limit disadvantage caused by language requirements,5m,6,yes,could include further questions on motivation: only one item 'I would like to play with the instruments again' directly assesses internal motivation,NR,7 to 9y,grade 3 to 4,"7,8,9",Australia,TD; children with learning disabilities (no further detail),NA,31,NA,no,yes,no,not all items relevant outside of intervention,child questionnaire,no,yes,yes,no,no,no,group,no,yes: in paper appendix A
