paper no.;author;year;scale name;general notes ;clear construct definition;relevance of construct (to motivation review);paradigm fit;enough information?;include/exclude;scale in another original paper;instrument focused 1(y)/0(n);note: focus if not instrumental;external validity (y/n);which external validity;Test theory;note 1: validity;No of categories;variance in score y/n/nr;ceiling/floor effect;internal consistency y/n;internal consistency measure;internal consistency score;inter-rater reliability y/n;inter-rater reliability score;note2: reliabilty;crucial skill;disadvantaged population;note3: fairness;Duration;estimate y/n;No. items;expansion/reduction possible;note4: efficiency;age group mean;age group range;grade;ages applied;country of study;population (typical/what disorder);Particular sample (e.g. non-native, underprivileged);sample size;note5: sample;IQ y/n;SES y/n;personality measure y/n;musical training y/n;home environment y/n2;note6: control variables;Hearing Acuity;volume;Timbre/Instrument;Analysis;Discrimination / Recognition;Association;Recall / Production;Performance;Sensorimotor synchronization;meter;beat;tempo;Analysis5;Discrimination / Recognition6;Association7;Recall/ Production;Performance8;Key/Absolute Pitch;mode;Analysis9;Discrimination/Recognition;Association10;Recall / Production11;Performance12;Analysis13;Discrimination/recognition14;Association15;Recall/ Production16;Performance17;Improvisation;composition;Singing ;Dance;interest;internal motivation;external motivation;note names;basic music categories;form perception;aesthetics/ aesthetical evaluation;function/target audience;emotion/mood;single tones;intervals;chords;phrases;harmonic sequence;full songs;individual or group testing;potential for group testing;evaluation notes;study design notes;questionnaire/interview;self-report;parent report;teacher-report;available for research use (y/n/unsure);all necessary items and instructions for testing available in paper or online (y/n);coder;missing tags;newly added?;;;;;;;;;;;;;;;
398;"Milhano, S.; Sousa, J.; Lopes, S.";2019;Untitled;questionnaire on show participation experience of pupils, interviews with parents and teachers: this is a qualitative survey, it does not provide an empirical assessment of motivation;1;0;0;0;1->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MH/CM;;;;;;;;;;;;;;;;;
428;"Dong, J. Y.; Choi, K.; Yu, S. Q.; Lee, Y. J.; Kim, J.; Vajir, D.; Haines, C.; Newbill, P. L.; Wyatt, A.; Upthegrove, T. & Jeon, M.";2023;Untitled;Pre and post program surveys on interest in music before and after a program that involved robots aimed at increasing motivation for science, maths and musicOnly one item measures interest and it refers specifically to comparisons between pre and post program, so not very generalisable to other contexts;1;0;0;1;2-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;;;;;;;;;;;;;group;;;child questionnaire;;;;;;;CM;;;;;;;;;;;;;;;;;
1447a;"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.";2020;Untitled;incentive subscale: questionnaire concerning incentive when practicing;1;1;1;1;4;;1;;y;"other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis";Motive-Disposition Theory;;5 point agreement scale;nr;n;y;cronbach's alpha;a=.63(fear factor), a=.66 (hope for affiliation factor);n;NA;;language skills;"young readers; dyslexia";designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+);8m;y;12;y;factor analysis indicates 2 items could be lost;15.08y;9 to 24 y;;;;TD;taking part in a music contest: 'Jugend Musiziert';1143;only 25 were <12 years of age;n;n;y;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: in paper table 3;CM;incentive;;;;;;;;;;;;;;;;
1447b;"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.";2020;Untitled;flow subscale: questionnaire concerning flow when practicing;1;1;1;1;4;;1;;n;"other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis";Motive-Disposition Theory;;5 point agreement scale;nr;n;y;cronbach's alpha;a=.55(concern factor), a=.74 (general flow factor);n;NA;;language skills;"young readers; dyslexia";designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+);5m;y;9;y;factor analysis supports number of items;15.08y;9 to 24 y;;;;TD;taking part in a music contest: 'Jugend Musiziert';1143;only 25 were <12 years of age;n;n;y;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: in paper table 4;CM;flow;;;;;;;;;;;;;;;;
1447c;"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.";2020;Untitled;volition subscale: questionnaire concerning volition when practicing;1;1;1;1;4;;1;;n;"other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis";Motive-Disposition Theory;;5 point agreement scale;nr;n;y;cronbach's alpha;a=.43(social focus factor), a=.61 (perseverance factor);n;NA;;language skills;"young readers; dyslexia";designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+);5m;y;8;y;factor analysis supports number of items;15.08y;9 to 24 y;;;;TD;taking part in a music contest: 'Jugend Musiziert';1143;only 25 were <12 years of age;n;n;y;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;group;y;;child questionnaire;1;1;;;unclear;y: in paper table 5;CM;volition;;;;;;;;;;;;;;;;
394ba;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Piano Autonomous Motivation scale (PAMS);Intrinsic motivation subscale: Adapted from Survey of Musical Interests paper 1454  and later part of MLM paper 403;1;1;1;1;4;;1;;y;cross-cultural and additional measures (work ethic questionnaire);Self-Determination theory;no comparison between measures for validity (despite similarity of work ethic Q);7-point likert scale (not at all like me- perfectly like me);nr;n;n;cronbach's alpha;a=0.77;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;5m;y;5;y;;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;0;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
394bb;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Piano Autonomous Motivation scale (PAMS);Identification/integration subscale : Adapted from Survey of Musical Interests paper 1454  and later part of MLM paper 403;1;1;1;1;4;;1;;y;cross-cultural and additional measures (work ethic questionnaire);Self-Determination theory;no comparison between measures for validity (despite similarity of work ethic Q);7-point likert scale (not at all like me- perfectly like me);;;y;cronbach's alpha;a=0.82;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;3m;y;3;y;;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;0;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
394bc;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Piano Autonomous Motivation scale (PAMS): ;Introjection subscale Adapted from Survey of Musical Interests paper 1454  and later part of MLM paper 403;1;1;1;1;4;;1;;y;cross-cultural and additional measures (work ethic questionnaire);Self-Determination theory;no comparison between measures for validity (despite similarity of work ethic Q);7-point likert scale (not at all like me- perfectly like me);;;y;cronbach's alpha;a=0.63;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;2m;y;2;y;only 2 items might not provide sufficient detail and additional items could enhance alpha score;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;0;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
1446;Berntsen, D., A.;1974;;questionnaires measure motivation but it is not specific to music: this study aims to look at the differences in general motivation between samples of students with varying types of musical training/participation;1;0;1;0;2->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
394bd;"Comeau, G.; Huta, V.; Liu, Y. F.";2015;Piano Autonomous Motivation scale (PAMS);External regulation: Adapted from Survey of Musical Interests paper 1454  and later part of MLM paper 403;1;1;1;1;4;;1;;y;cross-cultural and additional measures (work ethic questionnaire);Self-Determination theory;no comparison between measures for validity (despite similarity of work ethic Q);7-point likert scale (not at all like me- perfectly like me);;;y;cronbach's alpha;a=0.65;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";quality of translation to chinese could have affected results here, although translation was done in a number of steps and verified with a back-translation;4m;y;4;y;additional items could enhance alpha score;10.61y;6 to 17 y;nr; 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;China and US;TD;receiving piano tuition with one year of experience;150;recruited via music teachers (potential bias);n;n;n;y;n;recruited on the basis of having 1 year of piano experience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;;;;;;;;;;;;;0;y;mean ratings compared between samples from differnet cultures to test a quite racist stereotype!;child and parent reports;1;1;;;n;n;CM;;;;;;;;;;;;;;;;;
